my-workspace-perfectshuffle
solution_idx: 7 | avg: 1185.4923282188126 | fitness: 0.0008435313972064985
solution_idx: 1 | avg: 1184.1227484989993 | fitness: 0.0008445070422535212
solution_idx: 2 | avg: 1184.20613742495 | fitness: 0.000844447574114499
solution_idx: 3 | avg: 1182.1781187458305 | fitness: 0.0008458962182965264
solution_idx: 4 | avg: 1181.881921280854 | fitness: 0.0008461082126683679
solution_idx: 5 | avg: 1179.3815877251502 | fitness: 0.0008479019940686455
solution_idx: 6 | avg: 1179.7911941294196 | fitness: 0.0008476076147846742
solution_idx: 7 | avg: 1182.1781187458305 | fitness: 0.0008458962182965264
solution_idx: 1 | avg: 1182.3909272848566 | fitness: 0.0008457439725931559
solution_idx: 2 | avg: 1181.8365577051368 | fitness: 0.0008461406896582868
solution_idx: 3 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
solution_idx: 4 | avg: 1179.3815877251502 | fitness: 0.0008479019940686455
solution_idx: 5 | avg: 1179.3815877251502 | fitness: 0.0008479019940686455
solution_idx: 6 | avg: 1180.1834556370914 | fitness: 0.0008473258926174117
solution_idx: 7 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
solution_idx: 1 | avg: 1185.3488992661773 | fitness: 0.0008436334657408273
solution_idx: 2 | avg: 1180.0993995997333 | fitness: 0.0008473862458867283
solution_idx: 3 | avg: 1181.3789192795198 | fitness: 0.0008464684646733529
solution_idx: 4 | avg: 1179.5310206804536 | fitness: 0.0008477945746802956
solution_idx: 5 | avg: 1179.7911941294196 | fitness: 0.0008476076147846742
solution_idx: 6 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
solution_idx: 7 | avg: 1181.9573048699133 | fitness: 0.0008460542490661796
solution_idx: 1 | avg: 1185.3488992661773 | fitness: 0.0008436334657408273
solution_idx: 2 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
solution_idx: 3 | avg: 1181.6050700466978 | fitness: 0.0008463064566577048
solution_idx: 4 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
solution_idx: 5 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
solution_idx: 6 | avg: 1179.5310206804536 | fitness: 0.0008477945746802956
solution_idx: 7 | avg: 1179.5310206804536 | fitness: 0.0008477945746802956
solution_idx: 1 | avg: 1185.3488992661773 | fitness: 0.0008436334657408273
solution_idx: 2 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
solution_idx: 3 | avg: 1181.6050700466978 | fitness: 0.0008463064566577048
solution_idx: 4 | avg: 1179.297531687792 | fitness: 0.0008479624294378162
